NO,NET PLOT AREA IN SQ.MTR,NET PLOT AREA IN SQ.YDS,NET PLOT AREA IN SQ.FEET,BUILT UP AREA IN SQ.MTR,BUILT UP AREA IN SQ.YDS,BUILT UP AREA IN SQ.FEET,TOTAL PLOT AREA IN SQ. MTR,TOTAL PLOT AREA IN SQ. YDS,TOTAL PLOT AREA IN SQ. FEET,RATE (1500)*(900),9 % Pricing Discount Rates ( 1350 * 810 ),Status
89,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
90,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
91,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
92,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
93,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
94,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
95,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
96,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
97,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
98,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
99,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
100,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,
101,179.2,214.32,1928.89,105.83,126.57,1139.13,285.03,340.89,3068.019528,2761218,2512708,
102,112.06,134.02,1206.2,66.18,79.15,712.34,178.24,213.17,1918.539444,1726685,1571284,
103,80.72,96.54,868.86,47.67,57.01,513.12,128.39,153.55,1381.978439,1243781,1131840,
104,80.72,96.54,868.86,47.67,57.01,513.12,128.39,153.55,1381.978439,1243781,1131840,
105,80.72,96.54,868.86,47.67,57.01,513.12,128.39,153.55,1381.978439,1243781,1131840,
106,81.72,97.74,879.63,48.26,57.72,519.47,129.98,155.46,1399.099084,1259189,1145862,
107,82.72,98.93,890.39,48.85,58.43,525.83,131.57,157.36,1416.219729,1274598,1159884,
108,83.72,100.13,901.15,49.44,59.13,532.19,133.16,159.26,1433.340373,1290006,1173906,
109,84.72,101.33,911.92,50.03,59.84,538.54,134.75,161.16,1450.461018,1305415,1187928,
110,85.72,102.52,922.68,50.62,60.54,544.9,136.34,163.07,1467.581663,1320823,1201949,
111,80.73,96.55,868.97,47.68,57.02,513.18,128.41,153.57,1382.149646,1243935,1131981,Sold Out
112,81.73,97.75,879.73,48.27,57.73,519.54,130,155.48,1399.27029,1259343,1146002,
113,82.73,98.95,890.5,48.86,58.43,525.89,131.59,157.38,1416.390935,1274752,1160024,
114,83.73,100.14,901.26,49.45,59.14,532.25,133.18,159.28,1433.51158,1290160,1174046,
115,84.73,101.34,912.03,50.04,59.85,538.61,134.77,161.18,1450.632225,1305569,1188068,Sold Out
116,85.73,102.53,922.79,50.63,60.55,544.96,136.36,163.09,1467.752869,1320978,1202090,
117,86.73,103.73,933.55,51.22,61.26,551.32,137.95,164.99,1484.873514,1336386,1216111,Sold Out
118,98.91,118.3,1064.66,58.41,69.86,628.74,157.32,188.16,1693.402966,1524063,1386897,Sold Out
119,98.9,118.28,1064.55,58.41,69.85,628.68,157.31,188.14,1693.23176,1523909,1386757,
120,80.72,96.54,868.86,47.67,57.01,513.12,128.39,153.55,1381.978439,1243781,1131840,Sold Out
121,81.72,97.74,879.63,48.26,57.72,519.47,129.98,155.46,1399.099084,1259189,1145862,
122,82.72,98.93,890.39,48.85,58.43,525.83,131.57,157.36,1416.219729,1274598,1159884,
123,83.72,100.13,901.15,49.44,59.13,532.19,133.16,159.26,1433.340373,1290006,1173906,
124,84.72,101.33,911.92,50.03,59.84,538.54,134.75,161.16,1450.461018,1305415,1187928,
125,85.72,102.52,922.68,50.62,60.54,544.9,136.34,163.07,1467.581663,1320823,1201949,Sold Out
126,86.72,103.72,933.45,51.21,61.25,551.26,137.93,164.97,1484.702307,1336232,1215971,
127,87.72,104.91,944.21,51.8,61.96,557.61,139.52,166.87,1501.822952,1351641,1229993,
128,88.72,106.11,954.97,52.39,62.66,563.97,141.11,168.77,1518.943597,1367049,1244015,
129,89.72,107.31,965.74,52.99,63.37,570.33,142.71,170.68,1536.064242,1382458,1258037,Sold Out
130,90.72,108.5,976.5,53.58,64.08,576.68,144.3,172.58,1553.184886,1397866,1272058,
131,91.72,109.7,987.27,54.17,64.78,583.04,145.89,174.48,1570.305531,1413275,1286080,Sold Out
132,113.45,135.69,1221.17,67,80.13,721.17,180.45,215.82,1942.33714,1748103,1590774,Sold Out
